--------------------------------------------------------
pid=6660, name='svchost.exe', status='running', started='21:15:23'
pid=6732, name='RuntimeBroker.exe', status='running', started='21:15:23'
pid=6976, name='SearchApp.exe', status='stopped', started='21:15:24'
pid=7148, name='RuntimeBroker.exe', status='running', started='21:15:24'
pid=7308, name='unsecapp.exe', status='running', started='21:15:28'
pid=7356, name='svchost.exe', status='running', started='21:17:00'
pid=7432, name='RuntimeBroker.exe', status='running', started='21:15:34'
pid=7476, name='client.exe', status='running', started='21:57:57'
pid=7528, name='GoogleCrashHandler.exe', status='running', started='21:15:28'
pid=7960, name='ArtHost.exe', status='running', started='21:15:27'
pid=7968, name='ArtHost.exe', status='running', started='21:15:27'
pid=8180, name='svchost.exe', status='running', started='21:57:42'
pid=8356, name='OneDrive.exe', status='running', started='21:15:36'
pid=8572, name='svchost.exe', status='running', started='21:57:42'
pid=8656, name='WinStore.App.exe', status='stopped', started='21:17:15'
pid=8664, name='svchost.exe', status='running', started='21:57:35'
pid=8948, name='svchost.exe', status='running', started='21:15:57'
pid=9124, name='SystemSettings.exe', status='stopped', started='21:17:26'
pid=9144, name='client.exe', status='running', started='21:57:57'
pid=9660, name='audiodg.exe', status='running', started='21:57:35'
pid=9760, name='svchost.exe', status='running', started='21:17:16'
pid=9916, name='WmiPrvSE.exe', status='running', started='21:57:35'
pid=10156, name='YourPhone.exe', status='stopped', started='21:16:23'
--------------------------------------------------------
